Start Date,End Date,Type,Title,Batches / Years,Details
2026-09-11,2026-09-11,Event,AURA '26,,6 PM to 10 PM — Open Auditorium
2026-08-10,2026-08-18,Exam,CAT-1,,"Fall Semester 26-27 — Common for 2022, 2023, 2024 & 2025 admitted Int. M.Tech. & B.Arch.; 2022, 2023 & 2024 admitted Int. M.Sc.; 2023, 2024 & 2025 admitted B.Tech.; 2024 & 2025 admitted B.B.A.; 2026 & 2025 admitted M.Tech., M.C.A. & M.B.A."
2026-09-21,2026-09-28,Exam,CAT-2,,"Fall Semester 26-27 — Common for 2022, 2023, 2024 & 2025 admitted Int. M.Tech. & B.Arch.; 2022, 2023 & 2024 admitted Int. M.Sc.; 2023, 2024 & 2025 admitted B.Tech.; 2024 & 2025 admitted B.B.A.; 2026 & 2025 admitted M.Tech., M.C.A. & M.B.A."
2026-10-14,2026-10-31,Exam,FAT — Term End Examination,,"Fall Semester 26-27 — Common for 2022, 2023, 2024 & 2025 admitted Int. M.Tech. & B.Arch.; 2022, 2023 & 2024 admitted Int. M.Sc.; 2023, 2024 & 2025 admitted B.Tech.; 2024 & 2025 admitted B.B.A.; 2026 & 2025 admitted M.Tech., M.C.A. & M.B.A."
2026-09-07,2026-09-09,Exam,CAT-1,,"Fall Semester 26-27 — Common for 2026 admitted B.Tech., Int. M.Tech., B.Arch. & B.B.A."
2026-10-05,2026-10-07,Exam,CAT-2,,"Fall Semester 26-27 — Common for 2026 admitted B.Tech., Int. M.Tech., B.Arch. & B.B.A."
2026-10-19,2026-10-30,Exam,FAT — Term End Examination,,"Fall Semester 26-27 — Common for 2026 admitted B.Tech., Int. M.Tech., B.Arch. & B.B.A."
2026-12-17,2026-12-24,Exam,CAT-1,,"Winter Semester 26-27 — Common for 2022, 2023, 2024, 2025 & 2026 admitted Int. M.Tech. & B.Arch.; 2022, 2023 & 2024 admitted Int. M.Sc.; 2023, 2024, 2025 & 2026 admitted B.Tech.; 2024, 2025 & 2026 admitted B.B.A.; 2026 B.Tech., Int. M.Tech., B.Arch., B.B.A. & M.Tech."
2027-02-05,2027-02-12,Exam,CAT-2,,"Winter Semester 26-27 — Common for 2022, 2023, 2024, 2025 & 2026 admitted Int. M.Tech. & B.Arch.; 2022, 2023 & 2024 admitted Int. M.Sc.; 2023, 2024, 2025 & 2026 admitted B.Tech.; 2024, 2025 & 2026 admitted B.B.A.; 2026 B.Tech., Int. M.Tech., B.Arch., B.B.A. & M.Tech."
2027-03-11,2027-03-31,Exam,FAT — Term End Examination,,"Winter Semester 26-27 — Common for 2022, 2023, 2024, 2025 & 2026 admitted Int. M.Tech. & B.Arch.; 2022, 2023 & 2024 admitted Int. M.Sc.; 2023, 2024, 2025 & 2026 admitted B.Tech.; 2024, 2025 & 2026 admitted B.B.A.; 2026 B.Tech., Int. M.Tech., B.Arch., B.B.A. & M.Tech."
2026-07-20,2026-07-20,Event,FIFA WORLD CUP FINAL 2026 SCREENING,,AB02-AUDITORIUM1&2
2026-08-02,2026-08-02,Event,MOVIE SCREENING (SPIDERMAN NO WAY HOME),,"4 PM TO 6:30 PM 
AB02-AUDITORIUM 1&2"
2026-08-22,2026-08-22,Event,DJ NIGHT,,"6 PM TO 9:30 PM 
OPEN AUDITORIUM"
2026-08-29,2026-08-29,Event,MOVIE SCREENING (CHAK DE INDIA),,"4 PM TO ONWARDS 
AB02- AUDITORIUM 1&2"
2026-09-06,2026-09-06,Event,MONZA ITALLIAN GRAND PRIX F1 SCREENING,,"6PM ONWARDS 
AB02- AUDITORIUM 1&2"
2026-09-08,2026-09-08,HPL,Esports-BGMI SQUAD MODE,,"7:30 PM - 10:00 PM
3 MATCHES
AB02 - AUDITORIUM 2"
2026-09-09,2026-09-09,HPL,Esports - GARENA FREE FIRE,,"06:00 PM - 10:00 PM
AUDITORIUM 1"
2026-09-10,2026-09-10,HPL,Esports-BGMI SQUAD MODE,,"7:30 PM - 10:00 PM 
3 MATCHES 
AB02 - AUDITORIUM 2"
2026-09-12,2026-09-12,HPL,CARROM,,"09:00 AM ONWARDS
AB02 - 117"
2026-09-12,2026-09-12,HPL,CHESS,,"09:00 AM ONWARDS
AB02 - 121"
2026-09-12,2026-09-12,HPL,CUBE SOLVING,,"09:00 AM ONWARDS 
AB02 - 118"
2026-09-12,2026-09-12,HPL,Esports - FIFA,,"10:00 AM ONWARDS 
AB02 - AUDITORIUM 2"
2026-09-12,2026-09-12,HPL,Esports-BGMI SQUAD MODE,,"04:00 PM - 10:00 PM 
6 MATCHES 
AB02 - AUDITORIUM 2"
2026-09-13,2026-09-13,HPL,Esports - VALORANT,,"10:00 AM ONWARDS 
AB02 - AUDITORIUM 1"
2026-09-13,2026-09-13,HPL,Esports - GARENA FREE FIRE,,"10:00 AM ONWARDS 
AB02 - AUDITORIUM 2"
2026-09-12,2026-09-13,HPL,GULLY CRICKET,,"09:00 AM ONWARDS
AB02 PARKING AREA"
2026-09-12,2026-09-13,HPL,BASKETBALL,,"09:00 AM ONWARDS 
MULTI PURPOSE HALL(MPH)"
2026-09-12,2026-09-13,HPL,BADMINTON,,"09:00 AM ONWARDS 
MULTI PURPOSE HALL(MPH)"
2026-09-12,2026-09-13,HPL,MINI SOCCER,,"09:00 AM ONWARDS 
FOOTBALL GROUND"
2026-09-12,2026-09-13,HPL,TABLE TENNIS,,"09:00 AM ONWARDS 
AB02 - 121"
